SK_ID_CURR,TARGET
100001,0.07772392209827185
100005,0.10573450196419058
100013,0.06406263231115897
100028,0.055331496444179874
100038,0.12006033183018647
100042,0.065597612229372
100057,0.061064164780721644
100065,0.09325227994094282
100066,0.04769080682036291
100067,0.13460269592853621
100074,0.07792576365749979
100090,0.08803420540423543
100091,0.10366413336541631
100092,0.10689392945832545
100106,0.08754205474075799
100107,0.08807596042880014
100109,0.09186969109344897
100117,0.05693117862456828
100128,0.08526321852308498
100141,0.07160994827503482
100150,0.05462350917678802
100168,0.043594546164628066
100169,0.06151732557600538
100170,0.06934041426144623
100171,0.06971498046223883
100172,0.09509828651563024
100184,0.07801637919151694
100187,0.07228305574642346
100212,0.08304283553949426
100222,0.09006487384962726
100223,0.05002001138379721
100232,0.058697146351269255
100241,0.1162416886995768
100245,0.05682162989292657
100253,0.04886203219678282
100256,0.09936879177711765
100271,0.04144635150920056
100278,0.124563531885299
100280,0.045832346353747576
100306,0.10411405004420898
100311,0.12285888714672784
100312,0.043738001593479646
100330,0.0904562988278659
100331,0.06687119882303591
100352,0.10112426820834633
100358,0.09104168166358588
100367,0.06659439397852088
100382,0.1256330336703246
100384,0.08670589145801728
100385,0.10019502623119445
100386,0.07729121455361611
100399,0.05210367882092588
100404,0.08583614363024386
100416,0.05992842157036613
100422,0.09430086108382436
100426,0.07529121544864105
100438,0.06588514479306626
100444,0.08834897235694043
100445,0.09416673942904417
100446,0.1031934412734153
100447,0.06520454573445846
100450,0.07480400252310679
100466,0.06504838353319406
100483,0.07107492804014036
100484,0.04619512018367833
100494,0.0796779249497588
100510,0.10800524187288059
100512,0.057874161344925325
100517,0.05485282015864514
100548,0.06308350990173131
100551,0.0588385093261353
100552,0.10940434056537751
100553,0.04599810341866461
100561,0.11718457161342144
100568,0.14682060955664963
100569,0.07709794978036372
100591,0.0890990415481551
100592,0.04245826876574534
100602,0.09034334081350955
100607,0.06973676845150788
100613,0.0837857808195004
100617,0.11166082933534449
100618,0.0993442370303212
100622,0.09287221494875939
100625,0.10096702718433762
100677,0.10692040436861493
100699,0.06703102092413755
100702,0.1745214530643059
100711,0.08184721528741326
100729,0.10924109137856727
100740,0.1161217771545917
100744,0.11616514585741736
100745,0.07835298289370382
100747,0.1019146571388095
100751,0.15051372321306536
100752,0.07973098260827173
100753,0.1503296472291482
100754,0.11274898842504705
100760,0.07408619055804616
100762,0.1047725628585502
100763,0.08093964900608729
100765,0.06211020223858894
100770,0.10218087461492058
100772,0.05677968374264067
100777,0.07244274007061302
100791,0.06072036873245105
100792,0.03892762513700608
